sentence,category,label
And what rights does not have the trans group?,transphobic,2
"It is that these (jjjj) uses with pink-ceremony flag and with Avatar of Chinese cute, they are pro trans bots and you do not have to listen to them, block it and do not stop telling us what you want, sister. Here hemisphere to hemisphere, everything is feminist house.",transphobic,2
"Here is clear the »erase of women«, necessary due to trans marons who are the only menstruating or pregnant people who although they are females are not women.",transphobic,2
"I am writing the script of a movie. Starring a gypsy black transsexual woman who works at Open Arms collecting immigrants in the Mediterranean and whose father, former Franco's military, abused her. It will be a fucking shit but no one will have eggs to criticize it !!",transphobic,2
"Then, if a lesbian disgusts his penis, there all re happily and do not complain. Then a hetero disgusts his penis and it is because they disgust the trans. Stop breaking the balls, and let people live, crazy. They ask for respect and do not know how to respect the tastes of others 🙄",transphobic,2
He is a transpecie boy,transphobic,2
"Not to mention the psychological damage that causes them to put children who do not even have maturity and sufficient awareness of a subjective feeling of ""gender identity"" with zero scientific evidence, as well as there can be minors with hormonal treatments",transphobic,2
"I don't know why, I'm sure he has an abortion in the closet. Sister you were prostituta vip. By choice the trans that criticisms have no other. They do not give them work. Stop hating",transphobic,2
That gender identity right is not universal. And your subjective interpretation of what is discrimination without care.😎,transphobic,2
"When you think of gender laws, and inclusion thinks how to be feminnium football with the trans that for more hormones, they still lie the context of a man just who with Tetaa ...",transphobic,2
Nor do I know if silence the word trans because this has made me a lot of damage and I no longer know how to find myself in a safe space where I know 100% that I am not going to meet burradas like the ones I just read,transphobic,2
"The Hamilton helmet has the LGBT and trans flag drawn, for something lost.",transphobic,2
You saw hate the jojofans on top are all trans and things like this so I can't follow it because they immediately come out with things like Ay Terfs,transphobic,2
Or when they know that there was a transsexual reindeer and that is why the reindeer in front of them ran 😂😂,transphobic,2
Time to get trans,transphobic,2
"Imagine being transsexual, guy, how undecided will be?",transphobic,2
"Let's go back to the trans. They were born with penis and the male gender is imposed but they do not identify with that imposition. . I would tell you: Obviously, no one should impose how to live! So far we are fine. The contradiction arises when the genre that is imposed on women is identified!",transphobic,2
"Maric*nes, it is very good that you see trans attractive men and think about intimating with us but if you continue to make falcontrist sexual references unique and exclusively because it does not help much and we feel regularly regulate the truth.",transphobic,2
"One more push and you have trans trans, we can mark the day on the calendar and make you u. Birthday if you want",transphobic,2
The only good thing that Irene Montero is going to do is the trans law. As soon as I take it I am going to identify as a woman and I will make oppositions to Police for the fee of women with the physical tests of the woman. Long live Irene 👏👏,transphobic,2
"Debbie Hayton, transsexual and RU teacher says: ""Trans women are men- I am certainly, since I am the father of three children- while women are women.""",transphobic,2
"Inclusion of lesbians, gays, transsexuals. They have always been defended by feminism, but we are not willing to include the transgender, we feel it. I am not so good, or so silly as to give my vital space in favor of fetishist gentlemen who want to occupy our place",transphobic,2
"I am ""not defined"", give me waiter's work. Although it means leaving a woman, immigrant and dark complexion in unemployment.",transphobic,2
"1. The ""trans women"" are men. 2. The ""trans"" are women. I do not say it, Tortora, Thibodeau, Gray, among many other great names of human anatomy and physiology. Put to study",transphobic,2
"Women (women huh, not subject with costume) are a historically oppressed population (not trans them are not oppressed). Gender must be abolished but of course without a genre peoplecita as you run out of ""personality.""",transphobic,2
They are not real men xD are trans ceases to make them invisible,transphobic,2
"He has a black daughter, the complete pack. Surely it will be transsexual.",transphobic,2
What world will be translated expectations?,transphobic,2
"Nobody wants trans women to be in the radfem because they have an idea and a very different objective than that of radfems, transfminism wants to create more generos so that they all feel comfortable with their sexuality etc and the radfem wants to abolish the genre by Q through that +",transphobic,2
Because blacks see it as a convenience.,transphobic,2
"But it is trans, it has a woman's face 🤔",transphobic,2
I chaqua the transs hahahahaha,transphobic,2
"🚨🚨👁️👃👁️👉🇱🇷🌏Aquí is Michaels's very obvious penis while Bigmike dances to ""Do not believe me, just look"" sung by another transsexual, Bruno Mars, in the symbolism of blue and white stripes of Ellen like the temple From Epstein Island, my word.",transphobic,2
"I see them together and somewhat confuses me ... one with a very feminine pork face and the other with an ortho and amachado face, and I do not say it for that of the sub -only that says president of Venezuela and that bad languages. And Scandolos in Cucuta ,, of perika and scort trans ...",transphobic,2
You can sit when you get behind. Your mother has very big penis is a transsexual,transphobic,2
What if I like trans if they are beautiful like that of course ...?,transphobic,2
But I do not know . It must be that now there are no trans people who have a looool penis. Let's see if the ttansphobo is the tweet kid,transphobic,2
"Did you seriously said it? I don't think you are read and instructed. Reprobated, transgender women are men.",transphobic,2
is that there is a blonde who does not stop leaving and now thinks about the trans law saying that he will influence children to change sex/gender💀,transphobic,2
Hahahaha that triangulite in the legs would be covered by the güevas.,transphobic,2
Being trans is more accepted in society.,transphobic,2
"As a radical feminist, I think that a trans woman is a trans woman and that the purpose of her militancy and protest is her oppression discrimination because they are trans, not because they are women, I do not know if what I want to say is understood",transphobic,2
"1) Today 87 years ago, lawyers, whores, welders, bolleras and trans women vote.",transphobic,2
"Well exmootie, when you are trans or nb you let me know that I find out that you already know the asshole you thought",transphobic,2
"Trans men enter feminism. Of perverse nothing, feminism does not have to deal with everyone's problems, to help them is trans acitivism, but what is it? Always women having to take care of everyone's problems but are perverse?",transphobic,2
"Trans childhoods are violence. Literally a child playing with dolls is not in the wrong body, leave childhood to be childhood and your gender by the tail",transphobic,2
"""My fixed tweet allows me to accuse people trans with violating children."" Yes, you are a facade that likes to attack minorities. And leave me alone, which is apparently very small to a guy as machoro as you.",transphobic,2
"The vaginas that make trans women are not vaginas, it is not a hole that is manufactured that has to live the rest of their life opening with dilators since the body records it as a wound and naturally closes as any wound.",transphobic,2
"The amount of twets saying that this is transphobia, is it logical that a trans woman cannot play in female teams make them Chota God nobody is telling them that they are not women have tea",transphobic,2
"Are you operating to change sex is ""surgical castration"", but using hormone blockers and hormonal substitution therapy with minors is to strengthen your identity? Knowing that only 15% of children end up being transsexual?",transphobic,2
"What I believe. What do you think USDS? Many will insult me, but there it goes. The ideal government must establish conditions that allow people to consent to mutually interact and nothing else. For example, if an employer does not want to hire someone due to race or gender identity",transphobic,2
"What they call ""trans women"" not a man who wants to be a woman, who was born with a penis and 2 testicles. The woman has vagina and ovaries by birth. There are only men and women. The others is pure garbage of the subhuman species degenerative departure from sewers.",transphobic,2
"And is it going to fix all the thieves of the Ministrín party, the Zampón that its tourism is that of the trans? . You are garbage. Corrupt And what is worse you are the garbage you can.",transphobic,2
With everything that they put the cock less to the trans because they are going to leave 😆🤣🤮 but that the whole weight of the law falls to steal HDP,transphobic,2
"I do not understand the people who ask for trans quota, the only thing you imply is that they are so weak that they need the State's help at such a level that they force companies to hire them, in addition to giving a privilege to a certain group.",transphobic,2
"No, they are not women. They are trans women, being a woman and being trans women are totally different things and they need different things.",transphobic,2
I do not understand why the trans romanticize wanting to have menstrual periods when this shit is not ironically makes me want to be watched every 28 days of how bad I feel,transphobic,2
This weep or for cheap theater serves. Why didn't they stop him if it was learned that it was a ridiculous assembly? And who killed the trans? The left was silenced and the crime is unpunished?,transphobic,2
A clone kissing a transsexual 😲😲😲,transphobic,2
"I am a woman and I know what I'm talking about. You suffer discrimination non -oppression, understand !! There are 2 completely different things. Gender identity laws affect us women, but we are worth a mother, and then they say that Cuirismo/Transactivism is feminist ... Parfavar",transphobic,2
"And if the bulb does not give him, he talked about architectural barriers, and TB of reserves, as an example that a world only prepared for the ""normal"" majority is exclusive. It seems hallucinating that from there vd colija that a trans cannot climb stairs 🤣🤣🤣",transphobic,2
"I do not understand that it is trans but also transobic, that is, how ??. :(",transphobic,2
"She is not a woman, she is a trans woman.",transphobic,2
"He opened to see these projects. Half are to change the name to one street and the other for ""that the Chamber of Deputies recognizes a transvestite, gay, lesbian, etc."" Big projects. . Create National Mate Day also counts as a project.",transphobic,2
Pedophil,transphobic,2
"They are a damn sect where they struggle to be ""the most oppressed"" and ""supreme victims oppressed by trans"" and if you take them the opposite you are ""a queer machirulo"" or ""a traitor that puts the penises to the lives of women"" before the lives of women "" . Seriously, the Terf are a real sect.",transphobic,2
"What first was Terf harassment or trans harassment? How many Terf have been killed, beaten ... for being? And yet ... how many times have you said proudly that you have violently thrown a trans woman from your spaces? Abstraction and empathy",transphobic,2
"When the arguments cease to be that they are attracted to trans people, they fall in love with souls etc etc. maybe change their minds",transphobic,2
"It is almost funny to me because they are basically admitting that if you are a working class and openly non -binary or trans will make your life complicated, so you have to hide it or have certain privileges to be. And that's on them",transphobic,2
"They do not have them with the eggs full with the trans, the trav and sew them?!?",transphobic,2
"If a trans person has gender dysphoria and therefore the State pays its hormonal treatment, why do you not give me sterides since I suffer from body dysmorphic disorder? (I don't have it, I only use it as they are the same)",transphobic,2
Are you heteros? Bi? Homo? No binarie? Trans? Donkey? Or what are they ??,transphobic,2
I'm sorry but tell me some joke that they don't have to include trans,transphobic,2
"I would like people who are not part of the collective and the cis people will shut up the fucking peak when it comes to their own issues and trans people specifically. . I just ask silence, it doesn't even cost graxxxx money",transphobic,2
"A transfemenine put that ""the trans cause is also a feminist struggle"" I don't know how to put their pen3 in everything? I have had enough",transphobic,2
"And making the baby. Trans baby, transvestites, tracutis. Qariwarmis ... K will come xk we will continue to be born ... Many times that is the only thing K keeps me alive. K at least something he says or does can make the world less shit to that future trans. . That, thank you so little.",transphobic,2
"Of course, the mandatory quotas in the state, you only need to be trans and ready, you have priority to the rest, it doesn't matter whether you are capable or not, it only matters that",transphobic,2
Maybe it is a trans of those.,transphobic,2
Trans women are trans women and CIS women do not exist. A things by their name.,transphobic,2
that their jobs are recognized but since they are not trans or male they do not reach the recognition they are looking for,transphobic,2
"In the ""New Spain Democrat and Lay"" in the name of ""freedom of thought"" impose the tyranny of the expanded trans law and prohibit the public prayer of the rosary. !! Attentive is what comes in the draft of the front agreement.",transphobic,2
"It should be asked, however, if they are hormone with hormones of the opposite sex they should compete against people of the same sex (women would be at a competitive disadvantage with respect to the opposite sex and in competitive advantage with respect to their own sex).",transphobic,2
"NOP, fascism is to erase women and biology at the discretion of men. They are trans women, women have not been born, no matter how much muca they will be biologically.",transphobic,2
"If it is for the plaque, the workers blow it up, only defend the interests of minorities such as gay and trans tatteries",transphobic,2
It has the same penis 🤮 hahahaa better I get a men and give me money. A better trans a woman ...,transphobic,2
"Iranian filmmaker Marjane Satrapi, about feminist criticisms of #leytrans: ""In the 60s feminists hated lesbians.""",transphobic,2
"Trans lawyer should say the title, because she is a man, not a woman.",transphobic,2
"In fact, they are trans women, not women, and there are cis women with penis, but you are too stupid to understand",transphobic,2
"For the Ministrín Zampón and that only drinks Coca Cola, in addition to like trans tourism, reads. Uncultivated. You do not serve as a statue. You are a vague with public salary because it is the cloth of the Moñas",transphobic,2
"""I am trans because I feel a woman"" do not papu, you are a man who, because he paints his nails, leaves his hair long and makes up a woman.",transphobic,2
At no time do I say it is trans. Misoginia is seen from afar. It is not necessary to be very hustied to know what it is.,transphobic,2
"I support and admire the trans community, but the eva is ... I don't know Rick ... 🤨 The spots of meaningless blood, its way of explaining it, the day that has happened to it, that it takes time wanting to be instagramer ... Do not believe everything you read please, a little criteria",transphobic,2
"Children who do not have their consolidated self, who learn by imitation, are being recognized as trans by the alphabet collective, all based on manipulation and impunity that gives them their positions of power.",transphobic,2
"She is Kaiser's best friend, they wrote a book together .... Stiglitz you like it or not, she is a real economist, not a trans-economist. lawyer who identifies as an economist. What data are you talking about? You have been with that and I don't know what you are talking about ...",transphobic,2
"Good afternoon, today I come to tell you that you can say fag without being lgtb+, nigga without being black, whore without being a woman etc etc etc",transphobic,2
"Ostia whore ... buzzed vs.ble, both belonging to oppressed sides ....... Who wins? Karen for being a woman?. Carlos for being black? Remember that he is an uncle. Although she could self -destitute a woman ..... if Carlos calls himself a woman, if not, she loses. . ?? What mess mache ???",transphobic,2
The truth is that trans trans that are mutilated biological women who believe men who are biological men with plastic surgeries in the torso that women believe are women.,transphobic,2
"They are expelling women from competition sport. What talks about trans rights, talks about erasing sex and each one chooses in their ID what weighs it. I don't know if it's just an ignorant fool or a miserable mercenary.",transphobic,2
I'm going to cut my eggs and get transgender.,transphobic,2
Why when I make up transfers trans women? Ha ha ha ),transphobic,2
Literally my account is a trans -rat crying every 1 second,transphobic,2
"They have been sold in style, it has neither feet nor head. They sell it to you as if being trans was something special and beautiful that t makes it unique. While hundreds of women are drowned with their children without receiving support from the father.",transphobic,2
Good choice . I would do it a transgender beaver to assume the anti-transpecists and transfobos and their love interest unit,transphobic,2
"In Spain this data is not tabulated, yet. In uk yes. And the data show that half of the transgender prisoners are sexual or very dangerous aggressors. . The same rate as in the male prison population. After all, they are men and the #Misoginianotransition. /6",transphobic,2
"Whatever you get out of parrús less to be a whore, trans or queer*",transphobic,2
Why all NCT fans are trans is a requirement or that I do not know at 1 single q is normal,transphobic,2
"Well, I don't see the truth that CIS people are done traditionally made medical procedures for trans people such as hormonal replacement therapy or mastectomy in case of CIS women as long as they do not take it from social security or blame us if they regret",transphobic,2
From Mexico? Because in this law they intend to regulate the granting of gender identity to foreigners. May God take us confessed.,transphobic,2
"To friends and mutuals who are cis women more than once the typical traffic ladies who believe Marie Curie and girls/young meals of the head ""radfem"" from here obsessed with trans people have come to call them trans men or women (as insult)",transphobic,2
Brahim dancing and we with the Mallorcan transsexual. Luckily the four hairs that will be this season will compensate for Mbappé,transphobic,2
They do not want more rights because there are no rights due to sex such as feminism can imply. They are called privileges. That is why we never saw how trans men would steal patriarchal privileges but if we saw that women would steal rights.,transphobic,2
"I do not understand how lesbians, bisexuals and trans men can support the LGBT+ community when it is totally misogyable and makes them invisible, or talk about the hatred they receive by opinion different from them. get out of there",transphobic,2
I have read a thread about people who make conversion therapies to trans minors and I think it is the first time in my life that I have seen in something.,transphobic,2
"We are traveling the globalist agenda and without realizing even on our keyboards is the transgender ideology. Look at the icons that have their keyboards on WhatsApp, there they will find men dressed in wedding (dolls). How are you?",transphobic,2
"""Espado"" 😂 Andale Trans, did you get angry? 😂",transphobic,2
Today is my last post here on Twitter since there is no man in my account all my followers turns out to be fag as well. I am a transsexual but they dress with men's clothes and they are more woman than me my sisters was a pleasure to share with you,transphobic,2
"To this day, being a trans woman is to have a double discrimination on you, for being trans and woman, I do not understand the benefit of that.",transphobic,2
"The same is also useful for me, ""explains"" what transphobia is and says that it is not transphobia to exclude trans women from feminism.",transphobic,2
"Another interesting thing of the novel is the & lt; doublepiense & GT; That is, being aware of that something is true but going against your conscience and sustaining and living the lie. I sound like the ideology of gender because I ask me: Does a transsexual really believe in the deep d is a woman?",transphobic,2
"There are people who have interest in this, some are considered trans tb ... former 🤷🏻‍♂️",transphobic,2
"What a nonsense. Well, nothing, a woman is a 100% woman and a trans is a trans, point.",transphobic,2
What a hell is a non -binary person wtfff helps,transphobic,2
"Anyway, I finish a question. To what extent can we assimilate these characters of antiquity within trans people, non-binary or with PIS people with pen? And all because of Atanasio de Alejandría. I hope you liked it!. End of the thread",transphobic,2
Trans women don't give me a ball so they won't get pregnant either,transphobic,2
"Same serious scientific authorities who say that trans men are women and that abortions are part of reproductive health? Corruption infiltrates everywhere, and not because they are scientists are exempt from that. The same unquestionable speech? How naive, right?",transphobic,2
"So much that you knew what Mimut was like, I would love to know where you were when I harassed trans girls or when you make fun of them. If silence is the only answer to all the aggressions we suffer from within our own communities, such as",transphobic,2
"Scenario: A hetero trans girl, I like penises, meets Trans Hetero, who likes vaginas, are going to have relationships and realize that her sex does not match their gender, they are rejected ... Trans being transpos",transphobic,2
ok yes but you sing like a trans truck driver with the voice complex of Thanos so don't fuck me fat daddy,transphobic,2
"Above it says that how women could be done, they can be made to the trans I swear that I am pissing the biology laughter to March",transphobic,2
"There is much talk that the trans law will allow self -determination of gender, but little that children are in danger and that they will wash their heads",transphobic,2
Or that it is unequally in front of the law for giving legal privilege to a trans or homosexual only for being.,transphobic,2
It makes me funny that you are ful,transphobic,2
"Quiet, tell him to make you a lot of food, then you put it to make an oral one (he hates him, it is a transsexual and his smell of bait dislikes), when he finishes, go to the room, you throw yourself in the armchair and do you dedicate Let's see photos of all, in all networks. Go, go with God",transphobic,2
Benta Trans operated girl,transphobic,2
This man is a fraud laughs of trans reality ... As he has no idea loose those gilipolle,transphobic,2
"I know that it is not like the Piro is the CNDH or the official center of the lobby LGBT ksksks is only an antrum that gives use to musculos, dredgas and trans people ... Chile",transphobic,2
"No problem. That the uniformed leave between them disguised as trans, gays, tortillas, a few photos with painted eyes and lips, (not like carapintadas) and checks without funds Rossi tell him that there is no one to incorporate anyone. They are all trans and ready!",transphobic,2
They still do not annihilate the trans? Hahaha LPM,transphobic,2
"I think that the way in which a gay, lesbian, trans, etc. can be discriminated against, is with the existence of a collective for them. Why does a collective defend themselves when in theory they are normal people like the rest? 🤔",transphobic,2
"Tia Naty.! Just as you will be the leader of the trans clan, its pre -coital dance is very pretty, walking a very subliminal penetration,",transphobic,2
Serious? The Joker became transsexual 😲😲,transphobic,2
"I have not learned because not military but I do not approve of any anti -rights agenda, according to Morena they proposed to legalize abortion, approve marriages of homosexual people in states, trans identity, work justice, have they done nothing even having a majority, what do you think of that?",transphobic,2
I offer. I offer sex in exchange for a PS5 that comes with the cyberpunk 2077. It doesn't matter if you are man or trans or whatever I need it now,transphobic,2
If she is a trans woman. It is very clear that she is not a woman. . Use the trans movement. Which is the one that corresponds to us to discuss. It's okay to use feminism for everything that others want,transphobic,2
And you get with me because I am Chinese and trans. How disgusting gentuza.,transphobic,2
"That is the synthesis and the spirit of trans law. Let's give him retuwit, because it is what they will impose on us !!!",transphobic,2
Indeed. Trans is the one that is already operated. I was always against incitement to cut the penis that the normies are used to do with that group of people since that only leaves the mind to which it is operated. Besides that it does irreparable damage.,transphobic,2
Maybe it wanted to say trans-mission. 🤓,transphobic,2
"That is why the State should not give them an identification like that they are women or men purely, it would have to be for example in a section that they are trans, it is not necessary to be confused.",transphobic,2
"I would throw balls with a trans, as long as I had no penis",transphobic,2
The decline of the West .... They put on sale a transgender doll of pigtails and dress with which your children could play,transphobic,2
"Do you know that those who are being called euphemistic are transsexual people, right?",transphobic,2
"I hate the trolls, Hodio to the trolls, homosexuals and transomosexuals and transomosexuals",transphobic,2
"I will always tell homosexualism and trans are diseases and are not genres, what they require are if special treatments, in special centers, so that they do not disturb society and continue to harm this case for example, goodbye to gender ideology not There is another.",transphobic,2
"Men also owe them a fuck and yet there they are. Protesting and hating man simply for being a man. What contradictory does not everything? And for you know, a trans woman that woman, a transvestite. So close the ortho if you don't know a fuck. You give a terrible grief",transphobic,2
"I would not surprise me. In UK, they allowed trans marriage before, since they legally changed sex, and they were already hetero marriages.",transphobic,2
"Why stop in #Paridadya? That each list also has by law two gays, three indigenous, one trans, four Afros and three Romanesses. The democratic is not to base the election of a candidate on what it is, but on what he thinks ...",transphobic,2
"You also go to the profiles of trans women to point out the brutal attack they are exerting on us? Where they call us absolutely everything, they threaten us with death ...? They can get to get to women but eye do not mess with a trans person because poor.",transphobic,2
Only a trans sumow can be happy to see the statue of a nationally painted pink -color hero.,transphobic,2
"They continue to discriminate against our transframed community of everything, #Gobiernocriminalcorruptoymentiroso",transphobic,2
0 Empathy with the straw that said to be male trans to get into D Radfems and harass them.,transphobic,2
Xq in Monterrey not there are beautiful trans,transphobic,2
The rights for a fair sport of all the women who compete are above the rights of a trans woman to compete against them. . The common good above the individual,transphobic,2
"Jajajajaj, the Ministry of ""Women"" is dedicated to replace women in all areas for trans, it is a neopatriarchy that thus maintains power .... that did not see ehhhh come !!!!!. And always desire as a law ...... If you do not ""want"" you are dead friend, you will not be born ...",transphobic,2
"""Be a man ..."" Are you assuming that being a man, it must be strong, so he enables you to continue insulting him because you feel weak? You are the self -healthy. Tell that of men to women-trans women. Let's see how many ovaries you have.",transphobic,2
"Trans queer is homophobia, especially lesbophobia, and misogyny. Patriarchal rights of men (males, transmasculine only serve if they go against women). There is a lot of money there, to have benefits with the false transmission trans and to end the left and feminism",transphobic,2
"Sorry, they win it, and if it seems trans",transphobic,2
I Long of Trans,transphobic,2
But in the cartoon the insemination of Mary? Let's see if Jesus Christ will be trans species but Mary is going to be a zoophilic.,transphobic,2
"I feel that you are not separating the gender identity of biology when speaking of attraction, many times it attracts the gender expression that a person has, because it can ""put"" much someone and nobody can assure you what it has under the skirt .. sex is not always seen.",transphobic,2
"The protagonist of Juno, Elliot Page, explains that it is transgender #RRSS #Lima",transphobic,2
"DATAZO: This son of Sánchez's bitch, was launching a project to repeal the gender identity law.",transphobic,2
"You feel a high size singer and you are already in the flop hahaha, or with the promotion of your trans can have a hit hahahaha",transphobic,2
You are telling the lesbians that they have to like their penis if or yes. You look like a rapist. Are you a trans woman?,transphobic,2
"Please ask me! Do not get to interview gay, transvestites, drag queens, jibaros, whores and thieves",transphobic,2
"For trans, if they were enough. What is not fair is that a woman competes against a trans woman, to the tests I refer. And there are more cases like that.",transphobic,2
"I think he already had his ""trans trans"", right? ... or how little he had to do mutis for the forum.",transphobic,2
"If you want I put the capture as many times as you need. You have said this and if trans women do not obviously do not obviously have the rest of the trans people either, it cannot be that some trans people exists and others not at your convenience.",transphobic,2
"""Trans"" piko nde a defense lawyer of trollos, a fierce guy is",transphobic,2
"Uyyy Mira Com ud. That he wants to create lists of women criticism with trans law, he never asks for men, curious 🤔. Come on if it allows me to use the Spanish sayings, he spoke of put*s, the heels",transphobic,2
"A video comes out of a man who claims to be a trans woman but she has a beard and such, the only thing she gets dresses xD",transphobic,2
"The Ordas of lesbians, trans, and sexual deviants in general, have been attacking me for saying to their idola Valdebenito, which was a lesbian shit of the mate. For those normal subsations it is its maximum reference. That's how bad my poor country is",transphobic,2
"If they should, because there are tastes, if a person does not like trans women because they have a penis because you don't like them and that is not transfobia is simply taste and vice versa is the same.",transphobic,2
"Of course I am transsexual, if I make straws in the tram",transphobic,2
Someone forces them to be prostitutes tell me what law is that says that a trans cannot have a normal job.,transphobic,2
The subject is an aberration. It is Spain there are schools that speak of the transgender to 10 -year -old children. At that age a child is able to understand that? ...,transphobic,2
"🤣🤣🤣 How strong, huh?. That Muslims support the abolition of prostitution and many of us look bad the new trans law.",transphobic,2
That is having equal opportunities and fighting to achieve it ... not the blowjobs of those trans ridges that want to play with advantage in women's leagues ...,transphobic,2
"There are already transportist ""transporters, competing in great inequality (for those who"" fight ""so much against it), generating outrage among female competitors. Example:. The case of the ""trans"" fighter, which in UFC, brutally hurt several opponents ... very serious.",transphobic,2
"There are no trans minors. The right to childhood or immaturity prevents them from being transsexuals, undergoing hormonal or surgical treatments. . Once adults and mature and in use of their freedom, they can decide whether or not to be transsexuals.",transphobic,2
Trans women have no place in feminism. Trans men.,transphobic,2
"Trans? What is that, an Arabian player? Clarification: Seba is a kid that became a man",transphobic,2
These trans should make your league trans.,transphobic,2
Sorry? . So based on what factor do you say that trans women are women?,transphobic,2
"With the Gender Identity Law Women we will lose safe spaces, any man who self -identifies as a woman can access our bathrooms and costumes #Asestaslasfeministas #SitumbasunAtumbamosTodas",transphobic,2
Moreno to the left of CFK with respect to abortion in 2017. What follows? The cultural battle militating the trans quota in Congress?,transphobic,2
They do not exist. There is no feminism that excludes trans people. Is that feminism never included men. And that does not change because they put makeup and change their name. Is the new feminazi,transphobic,2
"Here is a small list of peds and self -perceived pedophiles ""women"". As you can see they are not just 2 or 3. The first one says that they were not trans challenging to explain how they know the difference 😀",transphobic,2
I don't know if it's femboi trans or whatever. But there are kids with much better female ass,transphobic,2
"I'm going to come back so that all the majesty they hate me become traffic and their ""justified anger"" start going against the humanistic values ​​of the UCA.",transphobic,2
